Industry,Division
Accounting/Finance,2
Advertising/Public Relations,3
Aerospace/Aviation,1
Arts/Entertainment/Publishing,1
Automotive,1
Banking/Mortgage,1
Business Development,1
Business Opportunity,1
Clerical/Administrative,1
Construction/Facilities,1
Consumer Goods,1
Customer Service,1
Education/Training,1
Energy/Utilities,1
Engineering,1
Government/Military,1
Green,1
Healthcare,1
Hospitality/Travel,1
Human Resources,1
Installation/Maintenance,1
Insurance,1
Internet,1
Job Search Aids,1
Law Enforcement/Security,1
Legal,1
Management/Executive,1
Manufacturing/Operations,1
Marketing,1
Non-Profit/Volunteer,1
Pharmaceutical/Biotech,1
Professional Services,1
QA/Quality Control,1
Real Estate,1
Restaurant/Food Service,1
Retail,1
Sales,1
Science/Research,1
Skilled Labor,1
Technology,1
Telecommunications,1
Transportation/Logistics,1
Other,1
